시설명,userid,평점,코멘트
한길이에스티,okozrbm8m,4,전체적으로 기대 이상이었습니다.
센텀뉴욕치과,rfqkwh34v,5,추천합니다!
아주자동차공업사,ltccwi4w7,3,서비스와 시설 모두 훌륭합니다.
서울신세계안과의원,dfren02do,1,시설의 청결 상태가 불만족스러웠습니다.
김포시 함상공원,fidafeiqd,2,가격 대비 품질이 좋지 않았습니다.
세계영상의학과의원,vmsegzyjs,5,자연 경관이 매우 아름답습니다.
평창군 광천선굴 어드벤쳐 테마파크,ehegz2nt5,5,시설이 매우 깔끔하고 현대적이었습니다.
강남베스트성모안과,cmsqfd2zg,4,편리한 위치에 있어 접근하기 쉬웠습니다.
대한안과의사회-삼성미라클안과의원,dfegja6ni,2,가족 여행에 적합하지 않았습니다.
 주 바일테크놀러지,cydje4vr8,3,추천합니다!
한국원자력의학원원자력병원,aojwhz74j,5,정말 훌륭한 시설입니다!
대한안과의사회_서울연세안과,epbls22a8,2,휴식을 취하기에는 적합하지 않았습니다.
휘트니스H,tqrkiojj5,5,편리한 위치에 있어 접근하기 쉬웠습니다.
양주시 에코스포츠센터,yccvmgbg9,3,가족과 함께 즐거운 시간을 보냈습니다.
부산광역시 금정구 공영주차장,oqpqz3ca2,2,음식이 별로 맛있지 않았고 메뉴가 부족했습니다.
대전국립숲체원,tlscrfdx7,5,전반적으로 만족스러운 경험이었습니다.
해운대자생한방병원,ckiomar2y,2,시설 사용이 불편했습니다.
강남베스트성모안과,lkfjgp4nn,5,다양한 시설과 편의시설이 있어 매우 편리했습니다.
대명리조트거제,clrsw0amb,1,시설이 조금 낡았지만 여전히 좋았습니다.
한양대학교병원,ycisrdlun,1,서비스와 시설 모두 개선이 필요합니다.
전국안경사협동조합_서울관내 58개 안경원,spwuf7vjh,3,친절한 직원들이 인상적이었습니다.
홍천군 국민체육센터,vnymsd6bg,1,음식이 별로 맛있지 않았고 메뉴가 부족했습니다.
제주유리의성,hdelt2rxe,3,가족과 함께 즐거운 시간을 보냈습니다.
킹덤치과,sgsrqnt7a,5,서비스가 매우 친절하고 전문적이었습니다.
만장굴,wyfocm2tz,1,시설 관리가 잘 안되고 있었습니다.
예본안과,nrgcl6tc5,3,"전반적으로 좋은 경험이었으며, 추천하고 싶습니다."
보성군비봉공룡공원,vgtjya3gb,2,주차 공간이 부족했습니다.
원주시 체육시설,chxwkrbqq,3,아이들이 즐겁게 놀 수 있는 다양한 시설이 마련되어 있습니다.
서울부산 밝은세상안과병원,tkjnuai2v,5,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
창녕스포츠파크,rcseq78s2,3,시설이 현대적이고 매우 잘 유지되고 있습니다.
가평군 조종국민체육센터,pskybjzi0,2,시설의 위치가 불편해서 접근성이 떨어졌습니다.
안성시 체육시설,pbelk7l95,5,시설의 청결 상태가 매우 좋았습니다.
여수시 공영주차장,dckird2mz,5,주차 공간이 넉넉해서 편리했어요.
인천광역시 중구 체육시설,bttbujav3,2,친구들에게 추천하기 어려운 곳입니다.
제주목관아,ohzzxy3sc,2,아이들과 함께하기에는 불편한 점이 많았습니다.
부산신세계안과,imkyoumrf,2,주변 경관이 별로였습니다.
청주현대병원,rwyrbk19m,4,시설이 매우 깔끔하고 현대적이었습니다.
창녕스포츠파크,kihqob9up,2,청결한 환경이 아니었습니다.
의왕레일바이크,jydqd0n8p,4,"전반적으로 좋은 경험이었으며, 추천하고 싶습니다."
하루애드림치과,dkrsg9m8t,2,편의시설이 부족했습니다.
파주시평생학습관,loxxhczty,1,시설 관리가 잘 안되고 있었습니다.
달천공원 오토캠핑장,gfhqe7og4,2,가격 대비 품질이 좋지 않았습니다.
청주병원,qsubm4n7e,4,여름에 가면 더욱 좋을 것 같아요.
해남군 장사시설,uqslba4dy,2,시설의 위치가 불편해서 접근성이 떨어졌습니다.
인천광역시 중구 문화회관,vdwrizcxv,4,조용하고 한적한 곳이라 마음에 들었습니다.
이플란치과,giyhrnj0w,4,시설 관리가 잘 되어 있었습니다.
스토리박스 스튜디오,jcfio009g,1,시설 이용이 매우 불편했습니다.
광주한국병원,uivxxoikz,1,시설 이용이 불편했고 안내가 부족했습니다.
사람과자연협동조합,uppvxo1i1,5,시설 내 편의시설이 잘 갖춰져 있었습니다.
합천군 평생교육,lossgyq4e,1,전반적으로 만족스럽지 않았습니다.
아프리카박물관,pzaxwsqh7,2,친구들과 함께 가기에는 적합하지 않았습니다.
양주시 회암사지박물관,admxoj9qm,2,서비스가 불만족스러웠습니다.
금정국민체육센터,ovchq2dk7,5,"전반적으로 좋은 경험이었으며, 추천하고 싶습니다."
인천광역시 부평구 보건소,jubmd4qh8,2,시설 내 모든 것이 정비되지 않았습니다.
시흥시 체육시설,mahep3ye2,3,다음에 또 오고 싶어요.
청주현대병원,znomttm1q,1,위치가 불편해서 접근성이 떨어졌습니다.
의령 벽계야영장,efprf5n2m,4,자연 경관이 매우 아름답습니다.
진주시 시립공원,nfmbvvxry,2,여름에는 너무 더웠습니다.
운악산휴양림,aizqbsuwq,2,친구들에게 추천하기 어려운 곳입니다.
강원대학교병원,ydtbq1m1a,4,깨끗하고 편안했어요.
제주민속촌박물관,wzfqk8b6e,5,친구들에게 추천할 만한 좋은 곳입니다.
대한안과의사회 다본안과 ,dkpypywtl,3,다양한 활동을 즐길 수 있어서 좋았어요.
골든튤립호텔남강,evybzs2ee,2,가격 대비 만족도가 낮았습니다.
인천광역시 미추홀구 체육시설,dscdg4q1e,1,가격 대비 만족도가 낮았습니다.
청주시 공영주차장,vdkdmitzu,2,서비스와 시설 모두 개선이 필요합니다.
남해군 국민체육센터,htfhxex17,5,시설의 청결 상태가 매우 좋았습니다.
옥천군 보건소,hmjajtzn3,1,직원들이 조금 더 친절했으면 좋겠습니다.
스카이라인루지 통영,phbyk59rm,5,가격 대비 만족도가 높았습니다.
하동군 국민체육센터,juknwpzlp,4,환경이 매우 청결하고 좋았습니다.
카페 하우짓,yjyupax3a,2,시설 이용이 불편했고 안내가 부족했습니다.
가평군 조종생활체육공원,kleda07lt,5,휴식을 취하기에 최적의 장소였습니다.
대명콘도 쏠비치 ,izatrmlu5,1,자연 경관이 좋지 않았습니다.
나주동신대한방병원,onewzk554,2,가족 모두가 만족하지 않았습니다.
이플란치과,dqcqhnnnq,1,가격 대비 만족도가 낮았습니다.
광주연세안과,slugy3b6g,2,아이들과 함께하기에는 불편한 점이 많았습니다.
올리브안경갤러리,nmrma0mv7,1,주변 경관이 별로였습니다.
박달나무한의원,yudsvbygk,2,시설 사용이 매우 불편했습니다.
명복공원,sejne8zms,4,다양한 활동을 즐길 수 있어서 좋았어요.
목포추모공원,oiiiu4smt,2,시설의 위치가 불편해서 접근성이 떨어졌습니다.
대한안과의사회 강남더블유안과 ,vyhur23ae,2,뷰가 별로였습니다.
V라이프영상의학과건강검진센터,lmlfn4blw,4,시설 이용이 편리하고 안내도 잘 되어 있습니다.
목포시 체육시설,jionj2vpq,2,조금 붐비긴 했지만 전체적으로 만족합니다.
광주연세안과,odismvbca,4,다양한 활동과 프로그램이 있어 좋았습니다.
조은안과,oriauntm7,4,친절한 직원들이 인상적이었습니다.
양평군 공영주차장,khtudyg2e,1,주변 경관이 별로였습니다.
일동용암천,pqpwnkap4,4,친구들에게 추천할 만한 곳입니다.
인제군 국민여가 캠핑장,faqrlg3e5,1,한 번쯤 가볼 만하지만 다시 방문하고 싶지는 않습니다.
누네안경원,gwqfp5wg6,1,가격 대비 품질이 좋지 않았습니다.
대국해저관광,oenzjtk38,5,여유롭고 편안한 분위기가 좋았습니다.
한길이에스티,odhuw1qh0,2,시설이 불편하고 깨끗하지 않았습니다.
밝은누리안과,ivozvwynt,1,직원들이 조금 더 친절했으면 좋겠습니다.
조은소리보청기대구점,cyltfojpu,1,조금 붐비긴 했지만 전체적으로 만족합니다.
진도군 공영주차장,erbgvbi2y,3,시설의 청결 상태가 매우 좋았습니다.
고성군 공설장사시설,uaxuou1y5,4,가격 대비 매우 만족스러운 경험이었습니다.
GS안과,xlyigv2zk,1,가격 대비 만족도가 낮았습니다.
음성군 보건소,zgwzpl9th,2,활동이 다양하지 않았습니다.
인천광역시 중구 박물관,tpxpr7n6c,2,주변 경관이 별로였습니다.
디오름펜션,lxpdgj9mc,4,깨끗하고 편안했어요.
서산시 주민자치센터,lfjbr0331,4,다음에 또 오고 싶어요.
대한안과의사회-김안과,eomzg9qb5,3,여기서 많은 추억을 만들었어요.
의정부시 보건소,ijuiwtchn,5,가격 대비 만족도가 높습니다.
춘해병원,bsggbnf9n,3,가성비가 좋습니다.
군산의료원,svezj9wdq,1,다양한 시설과 편의시설이 부족했습니다.
골든튤립호텔남강,jmnfs1bci,4,자연 경관이 매우 아름답습니다.
글로벌안과,xxais7jzr,4,깨끗하고 편안했어요.
대한안과의사회 서울성모안과 ,cmvux2rdp,3,시설 내부가 넓고 쾌적합니다.
대한안과의사회 대구안과 ,ssbdmlk4i,4,조용하고 한적한 곳이라 마음에 들었습니다.
대한안과의사회 세란안과 ,vxxzsll1j,5,체험 프로그램이 매우 유익했습니다.
수영센텀치과,ibvcchhwa,1,서비스와 시설 모두 개선이 필요합니다.
인천광역시 시립박물관,xfqvkqz8y,1,시설 내 모든 것이 정비되지 않았습니다.
양평병원,hxwsoc8kr,2,시설 내 모든 것이 정돈되지 않았습니다.
장령산자연휴양림,dcbyhlww7,1,주변 자연 경관이 좋지 않았습니다.
대한안과의사회-김안과,yttaoh7pq,1,다양한 시설과 편의시설이 부족했습니다.
아중요양병원,dapxq536m,4,주차 공간이 넉넉해서 편리했어요.
충주시 공영주차장,korwsjnep,2,자연 경관이 좋지 않았습니다.
대구의료원,qjggqvcyn,1,가격 대비 만족도가 낮았습니다.
진도자연휴양림,rpgwh4pen,4,자연 경관이 매우 아름답습니다.
서울부산 밝은세상안과병원,hgchttf35,3,다양한 시설과 편의시설이 있어 매우 편리했습니다.
양주시 국민체육센터,buwor6w84,3,친절한 직원들이 인상적이었습니다.
산음휴양림,asimquhwh,1,친구들에게 추천하기 어려운 곳입니다.
양주시 덕정탁구장,wztynlb9q,5,가격 대비 만족도가 높습니다.
대한안과의사회 새빛안과병원 ,dsstaok6q,4,여름에 가면 더욱 좋을 것 같아요.
중미산휴양림,zjborahci,1,한 번쯤 가볼 만하지만 다시 방문하고 싶지는 않습니다.
제주공룡랜드,kmdhccohv,5,친절한 직원들이 인상적이었습니다.
방태산휴양림,dnhio2rj9,2,시설 내 모든 것이 정비되지 않았습니다.
대한안과의사회 김진갑안과 ,gojkw6xef,4,시설의 청결 상태가 매우 좋았습니다.
인천광역시 계양구 체육시설,geovgy232,1,환경이 청결하지 않았습니다.
광릉,xdxjq7bg8,1,가격 대비 품질이 좋지 않았습니다.
거제포로수용소 유적공원,ptfjrolc2,3,가족 모두가 만족한 여행이었습니다.
함양군 공영주차장,gmimhmzxv,5,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
철원역사공원,ruglhuajh,4,아이들이 즐겁게 놀 수 있는 다양한 시설이 마련되어 있습니다.
인천광역시 연수구 평생교육,yljts9mjn,5,조용하고 한적한 곳이라 마음에 들었습니다.
정선군 군립공원,mgjvxnoq1,3,서비스가 정말 좋았어요.
디엔피코퍼레이션,jujodcp3a,4,여유롭고 편안한 분위기가 좋았습니다.
세종충남대학교병원,eogotfwbm,1,시설 내 모든 것이 정비되지 않았습니다.
제주한라병원,niycsd9yp,4,다양한 편의시설이 있어 편리했습니다.
인제대학교상계백병원,qvzacr0h1,1,친절한 직원들이 부족했습니다.
동국대학교일산병원,jzuvt5msu,3,자연 경관이 매우 아름답습니다.
낙안민속휴양림,ywhryc5cr,5,가격 대비 매우 만족스러운 경험이었습니다.
센텀뉴욕치과,vzbrqn087,1,조금 붐비긴 했지만 전체적으로 만족합니다.
안산시 공영주차장,cchrpnqdf,2,시설 사용이 매우 불편했습니다.
태백산재병원,bmoubjw8y,5,자연 경관이 매우 아름답습니다.
안성시 평생교육 학습관,ugzas8n12,1,편의시설이 부족해서 불편했습니다.
여주시 보건소,rlhez09s1,1,서비스와 시설 모두 개선이 필요합니다.
군 복지시설_체력단련장,whfkelz1r,4,서비스와 시설 모두 훌륭했습니다.
세일직업전문학교,aetgcdo24,3,위치가 좋아서 접근성이 뛰어납니다.
밝은누리안과,vjina7u70,4,자연과 함께하는 시간이 힐링이 되었어요.
인천광역시 중구 박물관,krzzxtdeb,3,주변 경관이 아름답습니다.
강원도영월의료원,unhqk6l9p,3,친절한 직원들이 인상적이었습니다.
㈜제주한라렌트카,anbbn4j1j,2,시설 사용이 불편했습니다.
양주시립 장욱진미술관,zajlyw0aj,3,자연과 함께하는 시간이 힐링이 되었어요.
보성군태백산맥문학관,ltvtjws2e,4,친절한 직원들이 인상적이었습니다.
오카브안경,kmiynkkkh,1,가격 대비 품질이 좋지 않았습니다.
파주병원,qwhyd4d3c,1,아이들이 놀기에 안전하지 않았습니다.
여수시 공영주차장,bmfgyl35f,5,한 번쯤은 꼭 가볼 만한 곳입니다.
닥터유치과,orrpr04yq,5,편리한 위치에 있어 접근하기 쉬웠습니다.
영광군 청사 부설주차장,ggyry9cm6,1,서비스와 시설 모두 개선이 필요합니다.
더잭슨나인스호텔,qcmsncu56,3,휴식을 취하기에 최적의 장소였습니다.
안산시 체육시설,sjern3j2m,5,시설 이용이 편리하고 안내도 잘 되어 있습니다.
CM세무직업전문학교,cfprepzpk,3,다양한 편의시설이 있어 편리했습니다.
인천광역시 미추홀구 체육시설,ogoab23wi,3,깨끗하고 정돈된 환경이 좋았습니다.
우도해양도립공원,xasfma6hv,1,서비스와 시설 모두 개선이 필요합니다.
서대문구 공영주차장,nfevna8z5,1,시설 내 모든 것이 정돈되지 않았습니다.
원주시 체육시설,yfhcg7pop,4,매우 만족합니다.
성애병원,roiclatsp,1,시설이 현대적이지 않고 매우 낡았습니다.
롯데시네마 제주삼화지구관,febujlcnu,2,가격 대비 만족도가 낮았습니다.
온고을장례식장,hidkfsvdh,4,다양한 시설과 편의시설이 있어 매우 편리했습니다.
진미통닭,sauuoo6bw,4,시설의 위치가 좋아 접근성이 뛰어났습니다.
한일자동차공업사,phtzs23b8,2,환경이 청결하지 않았습니다.
부산광역시 사하구 공영주차장,bkfihqr28,1,시설 이용이 매우 불편했습니다.
국립수목원,edtyr67o7,1,시설이 매우 실망스러웠습니다.
복주산휴양림,hqlienc0q,2,아이들과 함께하기에는 불편한 점이 많았습니다.
명품요양병원,rsphjps50,3,환경이 매우 청결하고 좋았습니다.
대전대학교 서울한방병원,xpntqqvmk,2,친구들에게 추천하기 어려운 곳입니다.
춘천 삼악산 호수케이블카,qzidtiwjl,1,주변 경관이 별로였습니다.
안성시 체육시설,zcnzx9wri,4,친구들에게 추천할 만한 곳입니다.
하나로의료재단,zsvfmfseg,1,편의시설이 부족해서 불편했습니다.
대한안과의사회 한길안과병원 ,hlhdnfb8n,5,시설 관리가 잘 되어 있었습니다.
광주문화예술회관,ccrwwaopw,5,시설 내 모든 것이 잘 정돈되어 있어 사용이 편리했습니다.
경북대학교병원,obcqnvyex,2,시설 내 모든 것이 정비되지 않았습니다.
상주성모병원,nufafpy6y,2,가족 여행에 적합하지 않았습니다.
철원군 고석정 및 철의 삼각지,pkdct52vk,5,"전반적으로 좋은 경험이었으며, 추천하고 싶습니다."
인천광역시 하늘문화센터,fklbt7wk8,4,아이들이 즐겁게 놀 수 있는 다양한 시설이 마련되어 있습니다.
금천구립도서관,mdhuj03t1,2,시설 내부가 좁고 불편했습니다.
온고을치과의원,ncaubm2pa,5,휴식을 취하기에 최적의 장소입니다.
해남군 체육시설,gctpblu1o,5,서비스와 시설 모두 훌륭합니다.
㈜AFW,ovkpp4w4u,4,추천합니다!
창원제일종합병원,mpczo5zqx,2,주차 공간이 부족했습니다.
보성군비봉공룡공원,wfsitux3u,2,서비스와 시설 모두 개선이 필요합니다.
양주시 고덕생활체육공원,qafpalfhb,1,가족 여행에 적합하지 않았습니다.
송파구 보건소,zwnxnuc0e,5,시설이 현대적이고 매우 잘 유지되고 있습니다.
대명콘도 단양 ,ghyoxmand,1,가족 모두가 만족하지 않았습니다.
인천광역시 부평구 체육시설,pkachx0gh,1,시설 내부가 좁고 불편했습니다.
거제포로수용소 유적공원,kznqpdf8o,1,시설의 청결 상태가 불만족스러웠습니다.
퍼스트짐 휘트니스,dmmkj0l6f,4,시설 사용이 매우 편리했습니다.
가톨릭대학교 부천성모병원,dfouykex8,2,시설이 불편하고 깨끗하지 않았습니다.
산청한방가족호텔,zawgy7nhu,3,전반적으로 만족스러운 경험이었습니다.
남문통닭,akhhdz8mm,4,주차 공간이 넉넉해서 편리했어요.
고성군 체육시설,qxqsi8n3d,2,서비스와 시설 모두 개선이 필요합니다.
관악구 자치회관,qsdyb3hr9,2,시설이 불편하고 깨끗하지 않았습니다.
유명산휴양림,rcjbvpndi,5,청결한 환경과 좋은 서비스에 만족했습니다.
대덕자동차직업전문학교,qpclerlnn,3,가격 대비 만족도가 높습니다.
충남 홍성의료원,gcdltd1yx,5,주차 공간이 넉넉해서 편리했어요.
대명콘도 제주 ,kqzft5a35,5,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
대한안과의사회 누네빛안과 ,brufd0zlm,1,시설 사용이 매우 불편했습니다.
조령산 자연휴양림,jdmbtqd8q,5,편리한 위치에 있어 접근하기 쉬웠습니다.
상주성모병원,qysdgal2l,3,직원들이 친절하고 도움이 많이 되었습니다.
광양시 체육시설,bwljhpehz,5,자연과 함께하는 시간이 힐링이 되었어요.
과천시 시립예술단체,bixftw7ny,3,다음에 또 오고 싶어요.
최남단 안경원,qgbgdvqpu,1,편의시설이 부족해서 불편했습니다.
사천시 보건소,ygulrqov6,5,서비스와 시설 모두 훌륭합니다.
닥터뷰치과의원,hsbmcbhuj,4,주변 경관이 아름답습니다.
금호콘도 화순 ,abuslfpec,4,다양한 활동을 즐길 수 있어서 좋았어요.
제천 의림지 역사박물관,maqzqw5ml,2,시설 관리가 잘 안되고 있었습니다.
가평군 조종생활체육공원,vxmnt9q7q,1,편안하고 조용한 분위기가 아니었습니다.
세명대학교 부속 충주한방병원,plwxqwele,4,시설이 현대적이고 매우 잘 유지되고 있습니다.
제주민속자연사박물관,ywaonv1sq,2,여름에는 너무 더웠습니다.
해운대자생한방병원,ffjmqnin0,2,여름에는 너무 더웠습니다.
동작구 체육시설,qxmghn3ur,5,주차 공간이 넉넉해서 편리했어요.
부평성모안과,hqahyyd0i,3,가격 대비 만족도가 높았습니다.
금성제지기계,yemrip166,4,전체적으로 기대 이상이었습니다.
원주시자연휴양림,hsrzlp2dm,4,아이들과 함께 즐거운 시간을 보냈어요.
강서구 공영주차장,fmqhq421l,3,시설 사용이 매우 편리했습니다.
목포동신대학교한방병원,smhcyqta3,1,시설이 낡고 깨끗하지 않았습니다.
서원대학교,jtlwco7ft,3,친절한 직원들이 인상적이었습니다.
백운산휴양림,imkki24hw,4,여름에 가면 더욱 좋을 것 같아요.
대한안과의사회 현탑안과 ,xmfwfcvhg,1,휴식을 취하기에는 적합하지 않았습니다.
남해군 보물섬 캠핑장,iqfsh9b7f,5,아이들과 함께 즐거운 시간을 보냈어요.
 창원 상남 굿모닝내과병원,vhaidfauv,3,시설 내 모든 것이 잘 정돈되어 있어 사용이 편리했습니다.
김포시 함상공원,kndjsxwju,2,환경이 청결하지 않았습니다.
동대문구 보건소,jmpmopqga,4,가격 대비 만족도가 높습니다.
의정부병원,vduhtqmti,3,휴식을 취하기에 최적의 장소였습니다.
강릉원주대학교 치과병원,ismuq90re,5,음식이 맛있었고 다양한 메뉴가 제공되었습니다.
국립수목원,wttvmch57,5,여름에 가면 더욱 좋을 것 같아요.
밝고고운안과,mbtuvg1so,5,시설 관리가 잘 되어 있었습니다.
양주시 체육복지센터,edrxdf42y,1,아이들이 놀기에 안전하지 않았습니다.
참사랑문화의집,milyvevpf,2,다양한 프로그램과 활동이 부족했습니다.
한국건강관리협회경기도지부,mnxqwc9mb,5,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
대한안과의사회 울산 밝은안과 ,pyiii1kk2,2,음식이 별로 맛있지 않았고 메뉴가 부족했습니다.
의왕시 장사시설,zsuuxvvci,4,가격 대비 만족도가 높았습니다.
상주시노인종합복지관,dtmtc2kh4,1,조금 붐비긴 했지만 전체적으로 만족합니다.
대한안과의사회 소중한빛안과 ,elgmp5kfl,3,휴식을 취하기에 최적의 장소입니다.
청주의료원,gcttrr6t5,2,위치가 불편해서 접근성이 떨어졌습니다.
서산시 보건소,icuzkirdo,2,다양한 프로그램과 활동이 부족했습니다.
국민건강보험공단 일산병원,teqrfoe7v,2,주변 경관이 별로였습니다.
조은소리보청기대구점,mvsvnvfsw,4,추천합니다!
양구 두타연,acatlmzew,1,시설 관리가 잘 안되고 있었습니다.
LG전자베스트샵학동점,fsyows4v3,5,시설 사용이 매우 편리했습니다.
철원군 병영체험수련시설,gdghwc2mh,4,시설 사용이 매우 편리했습니다.
가평군 가평사계절썰매장,mmfmhsbwn,3,시설 이용이 편리하고 안내도 잘 되어 있습니다.
양주시 서부권스포츠센터,raznh1hse,4,청결한 환경과 좋은 서비스에 만족했습니다.
대구보훈병원,kvevbskzt,2,시설 이용이 불편했고 안내가 부족했습니다.
창원힘찬병원,hkjsc5kx7,3,시설의 청결 상태가 매우 좋았습니다.
팀바디매스,ojkicbooi,2,주변 자연 경관이 좋지 않았습니다.
보훈휴양원,hlhbzu432,4,직원들이 친절하고 도움이 많이 되었습니다.
독일안경원,dxhcezmmo,5,여기서 많은 추억을 만들었어요.
창녕오리정운동장,rcognfxak,1,서비스와 시설이 매우 실망스러웠습니다.
철원군 병영체험수련시설,htjjetl3k,5,아이들이 놀기에 안전한 환경입니다.
의정부시 주민자체센터,wiesba14i,5,다양한 프로그램과 활동이 있어 좋았습니다.
유디중앙로치과의원,ozafrtu8q,3,시설 내부가 넓고 쾌적합니다.
전주세계소리축제,vtbwpxvh7,4,가성비가 좋습니다.
횡성군 공영주차장,wficv9epl,5,친절한 직원들이 인상적이었습니다.
가평군 가평체육관,lrsazsa7v,5,휴식을 취하기에 최적의 장소였습니다.
진주시 농기계임대사업소,qapwpq46a,4,시설 사용이 매우 편리했습니다.
중앙능력개발원,fwijmxc8u,2,다양한 시설과 편의시설이 부족했습니다.
도봉구 체육시설,jztgjyc5p,4,뷰가 정말 아름다웠어요!
구로구 공영주차장,xbzvr2w69,1,시설의 청결 상태가 불만족스러웠습니다.
태백산재병원,hmvwm2wa4,3,가족 모두가 만족한 여행이었습니다.
한일자동차공업사,ijzix2x85,3,추천합니다!
증평군 보건소,aqmmmjr5w,5,친절한 직원들이 인상적이었습니다.
대전시립제2노인전문병원,yvuzokjya,1,다양한 활동과 프로그램이 부족했습니다.
의왕시 장사시설,mqvurvbh4,4,아이들이 놀기에 안전한 환경입니다.
양주시 주민자치센터,dahtae4qm,3,다양한 프로그램과 활동이 있어 좋았습니다.
동작구 체육시설,qlyvxmxfo,1,시설 이용이 매우 불편했습니다.
여수시 주민자치센터,cygoa8s3w,5,다양한 프로그램과 활동이 있어 좋았습니다.
온누리안과,njjqlr9ul,4,시설 내부가 넓고 쾌적합니다.
진주시 시립공원,xhfwc2mkq,4,서비스와 시설 모두 훌륭했습니다.
제주씨월드,urxxnk2k8,1,가격 대비 만족도가 낮았습니다.
중앙환경직업전문학교,sxyas2j9m,1,다양한 시설과 편의시설이 부족했습니다.
나주동신대한방병원,najyj1t5k,1,시설이 매우 실망스러웠습니다.
노형골프클럽,pfmgsxli0,2,체험 프로그램이 유익하지 않았습니다.
가평군 가평생활체육공원,srnng9qx1,2,가격 대비 만족도가 낮았습니다.
서대문자연사박물관,lfcied2bc,1,시설 사용이 불편했습니다.
대구실내빙상장,audjztibh,2,체험 프로그램이 유익하지 않았습니다.
광명새움병원,dqmoyjmf3,5,시설이 현대적이고 깔끔합니다.
옥천군 체육시설,mfggkv5to,4,깨끗하고 편안했어요.
좋은생각사람들,kfbteecpo,3,"전반적으로 좋은 경험이었으며, 추천하고 싶습니다."
대한안과의사회 현탑안과 ,jctmdz3dp,2,전반적으로 만족스럽지 않았습니다.
양주시 고덕생활체육공원,oxotk49xh,5,다양한 시설과 편의시설이 있어 매우 편리했습니다.
고성군 평생교육,elowgl7hd,1,시설이 너무 붐비고 혼잡했습니다.
근로복지공단 대구병원,gqavxa0g9,3,서비스가 정말 좋았어요.
제주민속촌박물관,pssua63mc,1,전반적으로 만족스럽지 않았습니다.
창녕국민체육센터,xklgj1gt2,2,시설이 조금 낡았지만 여전히 좋았습니다.
군포시 노동종합복지관,mvqyrxc3f,4,서비스와 시설이 매우 인상적이었습니다.
함안 체육관,ecxfdjkip,5,가족 모두가 만족한 여행이었습니다.
진주시 능력개발관,snlrn0lur,5,가족 여행에 추천합니다.
나나성형외과,lfmka14pc,2,음식이 별로 맛있지 않았고 메뉴가 부족했습니다.
구트병원,vomazyjrq,3,시설이 매우 잘 관리되고 있었습니다.
이천시 보건소,sswmohe3r,4,재방문 의사 있습니다.
안경사랑,dochofj4n,1,환경이 청결하지 않았습니다.
경복궁,tasaqu3em,3,시설이 매우 잘 관리되고 있었습니다.
㈜일성여행사,bkociq1wm,1,조금 붐비긴 했지만 전체적으로 만족합니다.
성남중앙병원,lgsos8kto,2,시설의 청결 상태가 불만족스러웠습니다.
누네안과병원 남양주,sifqfgd65,2,다양한 시설과 편의시설이 부족했습니다.
백제병원,concm2cwj,2,시설 내 모든 것이 정돈되지 않았습니다.
노원구 공영주차장,lihft1ypa,5,시설 관리가 잘 되어 있었습니다.
수원시 화성주차장 주차료,favuhvw0i,4,시설 관리가 잘 되어 있었습니다.
누네안과병원 남양주,aipsi4ipm,4,휴식을 취하기에 최적의 장소였습니다.
창원시립장사시설,oczirmkf6,3,다양한 편의시설이 있어 편리했습니다.
김기록치과,xumnzhxf7,4,친구들에게 추천할 만한 곳입니다.
성남중앙병원,kxstkkp97,1,시설 이용이 불편했고 안내가 부족했습니다.
합천군 종합사회복지관,lnsnqs91t,3,위치가 좋아서 접근성이 뛰어납니다.
보성군득량만바다낚시공원,vkofeqjbk,2,청결한 환경이 아니었습니다.
미리벌민속박물관,qwzqnwcj5,2,휴식을 취하기에는 적합하지 않았습니다.
경상남도수목원,swzzxekmc,3,서비스가 정말 좋았어요.
엘도라도리조트,jccrxi86q,4,시설 관리가 잘 되어 있었습니다.
춘해병원,raesld9ei,1,시설 이용이 불편했고 안내가 부족했습니다.
구로구 체육시설,vlkvjpx1b,1,시설 이용이 불편했고 안내가 부족했습니다.
해남군 공영주차장,awawk5n8t,2,다양한 활동과 프로그램이 부족했습니다.
운장산휴양림,zlriq2380,3,전체적으로 기대 이상이었습니다.
천지연폭포,bkapzqzer,2,시설 사용이 불편했습니다.
광양시 주민자치센터,chgkitenf,2,전망대에서 보는 풍경이 실망스러웠습니다.
의정부환한미소치과의원,vpcka5wxn,1,주차 공간이 부족했습니다.
구리왕숙체육공원,bzezep70z,5,시설이 매우 깔끔하고 현대적이었습니다.
구리시 시립테니스장,nkzbm9tea,2,청결한 환경이 아니었습니다.
부산광역시 남구 공영주차장,bmvcur48d,3,전반적으로 만족스러운 경험이었습니다.
인천광역시 계양구 공영주차장,leditxytq,3,주변 경관이 아름답습니다.
양주시 옥정생활체육공원,snuskpzs9,5,여유롭고 편안한 분위기가 좋았습니다.
베일리수 스튜디오 광주점,jqqgxhfcg,4,시설이 매우 깔끔하고 현대적이었습니다.
양주시 장흥생활체육공원,jyuyfcy3z,4,가족 여행에 추천합니다.
방림원,vvwexr4eh,3,다시 방문하고 싶어요.
양주시 백석생활체육공원,efhij1olm,4,여유롭고 편안한 분위기가 좋았습니다.
